Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
45,123 (12.5%),4,10.0453,16059,12150,
45,247 (25%),6,12.8214,27507,12150,
45,495 (50%),10,19.4745,52649,12150,
45,742 (75%),15,26.6702,87850,12150,
46,129 (12.5%),4,10.2618,17452,12696,
46,258 (25%),6,13.8931,29614,12696,
46,517 (50%),10,20.8979,57238,12696,
46,776 (75%),15,28.2030,91634,12696,
47,135 (12.5%),4,10.6568,18150,13254,
47,270 (25%),6,14.6060,30928,13254,
47,540 (50%),10,22.6595,59995,13254,
47,810 (75%),15,30.4396,95641,13254,
48,141 (12.5%),4,11.4017,18252,13824,
48,282 (25%),6,15.4817,33069,13824,
48,564 (50%),10,24.6718,63919,13824,
48,846 (75%),17,33.4127,109001,13824,
49,147 (12.5%),4,11.9796,20366,14406,
49,294 (25%),6,21.1532,35023,14406,
49,588 (50%),11,25.6324,68055,14406,
49,882 (75%),17,34.9324,114392,14406,
50,153 (12.5%),5,12.6681,21136,15000,
50,306 (25%),7,17.4525,38573,15000,
50,612 (50%),11,27.2639,72655,15000,
50,918 (75%),17,37.5628,117839,15000,
51,159 (12.5%),5,14.1807,22637,15606,
51,318 (25%),7,22.4590,38813,15606,
51,637 (50%),11,34.7478,74825,15606,
51,956 (75%),18,43.4384,126050,15606,
52,165 (12.5%),5,14.7696,23520,16224,
52,331 (25%),7,19.4504,42315,16224,
52,663 (50%),11,30.6365,80752,16224,
52,994 (75%),17,40.6880,132090,16224,
53,172 (12.5%),5,14.7021,25713,16854,
53,344 (25%),7,20.3741,43931,16854,
53,689 (50%),12,31.1069,84701,16854,
53,1033 (75%),18,41.5716,140660,16854,
54,178 (12.5%),4,14.5855,25899,17496,
54,357 (25%),7,20.5564,47047,17496,
54,715 (50%),12,32.6130,91552,17496,
54,1073 (75%),18,43.7517,145745,17496,
55,185 (12.5%),5,15.1467,27628,18150,
55,371 (25%),7,21.8542,49493,18150,
55,742 (50%),12,33.9324,93875,18150,
55,1113 (75%),19,46.3755,156199,18150,
56,192 (12.5%),5,16.1979,30016,18816,
56,385 (25%),7,22.8426,51626,18816,
56,770 (50%),12,35.4490,98632,18816,
56,1155 (75%),19,49.1011,167632,18816,
57,199 (12.5%),5,17.5827,31795,19494,
57,399 (25%),7,23.3378,54022,19494,
57,798 (50%),12,37.2481,102609,19494,
57,1197 (75%),18,51.1618,172719,19494,
58,206 (12.5%),5,17.1344,32505,20184,
58,413 (25%),7,24.3833,56412,20184,
58,826 (50%),12,38.9841,107778,20184,
58,1239 (75%),18,53.2472,175586,20184,
59,213 (12.5%),5,18.5797,34595,20886,
59,427 (25%),7,25.5523,58945,20886,
59,855 (50%),12,40.7231,115935,20886,
